p0,T,Iter,p,Estimator,Expected_Tau
8,300,0,6,Joint-BMA,0.2
8,300,0,6,Geom-BMA,0.2
8,300,0,7,Joint-BMA,0.2
8,300,0,8,Joint-BMA,0.2
8,300,0,9,Joint-BMA,0.2
8,300,0,10,Joint-BMA,0.19999999999999998
8,300,0,11,Joint-BMA,0.2
8,300,0,12,Joint-BMA,0.2
8,300,1,2,Joint-BMA,0.2
8,300,1,2,Geom-BMA,0.2
8,300,1,3,Joint-BMA,0.2
8,300,1,3,Geom-BMA,0.2
8,300,1,4,Joint-BMA,0.2
8,300,1,4,Geom-BMA,0.2
8,300,1,5,Joint-BMA,0.19999999999999998
8,300,1,5,Geom-BMA,0.2
8,300,1,6,Joint-BMA,0.2
8,300,1,6,Geom-BMA,0.2
8,300,1,7,Joint-BMA,0.2
8,300,1,8,Joint-BMA,0.2
8,300,1,9,Joint-BMA,0.2
8,300,1,10,Joint-BMA,0.2
8,300,1,11,Joint-BMA,0.2
8,300,1,12,Joint-BMA,0.2
8,360,0,5,Geom-BMA,0.2
8,360,0,6,Geom-BMA,0.2
8,360,0,7,Joint-BMA,0.2
8,360,0,7,Geom-BMA,0.2
8,360,0,8,Joint-BMA,0.2
8,360,0,8,Geom-BMA,0.2
8,360,0,9,Joint-BMA,0.2
8,360,0,9,Geom-BMA,0.2
8,360,0,10,Joint-BMA,0.2
8,360,0,10,Geom-BMA,0.2
8,360,0,11,Joint-BMA,0.2
8,360,0,12,Joint-BMA,0.2
8,360,1,2,Geom-BMA,0.2
8,360,1,6,Geom-BMA,0.19999999999999998
8,360,1,7,Joint-BMA,0.20000000000000004
8,360,1,7,Geom-BMA,0.2
8,360,1,8,Joint-BMA,0.2
8,360,1,8,Geom-BMA,0.2
8,360,1,9,Joint-BMA,0.2
8,360,1,9,Geom-BMA,0.19999999999999998
8,360,1,10,Joint-BMA,0.2
8,360,1,10,Geom-BMA,0.2
8,360,1,11,Joint-BMA,0.2
8,360,1,11,Geom-BMA,0.2
8,360,1,12,Joint-BMA,0.2
8,480,0,2,Geom-BMA,0.2
8,480,0,3,Geom-BMA,0.20000000000000004
8,480,0,6,Geom-BMA,0.20000000000000004
8,480,0,7,Joint-BMA,0.2
8,480,0,7,Geom-BMA,0.2
8,480,0,8,Joint-BMA,0.2
