True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Geom Mean MSE Ratio,5th Percentile,95th Percentile
6,100,BMA (BIC-Weighted),N/A,12.0,0.884,0.4192,1.7098
6,100,BVAR (Minn.),N/A,12.0,2.0795,0.9023,4.5808
6,100,BVAR (Conj.),N/A,12.0,2.1122,0.9433,4.5828
6,120,AIC,5.0,4.82,1.0621,0.492,2.3876
6,120,SIC (BIC),0.0,1.37,1.0136,0.4151,2.3767
6,120,HQC,0.0,1.94,0.9626,0.4107,2.1626
6,120,BMA (BIC-Weighted),N/A,12.0,0.9415,0.4504,1.9276
6,120,BVAR (Minn.),N/A,12.0,1.7576,0.7941,3.8777
6,120,BVAR (Conj.),N/A,12.0,1.7361,0.8049,3.853
6,160,AIC,9.9,3.38,1.0181,0.4626,2.2302
6,160,SIC (BIC),0.0,1.64,1.1003,0.4438,2.7664
6,160,HQC,0.0,2.02,1.055,0.4424,2.4721
6,160,BMA (BIC-Weighted),N/A,12.0,0.9952,0.4749,2.0011
6,160,BVAR (Minn.),N/A,12.0,1.6371,0.706,3.9161
6,160,BVAR (Conj.),N/A,12.0,1.6447,0.6864,3.9533
6,200,AIC,11.0,3.54,1.0136,0.4078,2.354
6,200,SIC (BIC),0.0,1.88,1.0998,0.4382,2.6666
6,200,HQC,0.0,2.03,1.0619,0.41,2.5264
6,200,BMA (BIC-Weighted),N/A,12.0,1.0321,0.4314,2.4134
6,200,BVAR (Minn.),N/A,12.0,1.596,0.7166,3.7057
6,200,BVAR (Conj.),N/A,12.0,1.6131,0.7202,3.8317
8,80,AIC,0.0,12.0,3.0605,0.8224,35.7216
8,80,SIC (BIC),0.0,2.66,0.7944,0.2275,3.2506
8,80,HQC,0.0,11.72,2.9487,0.7185,35.7216
8,80,BMA (BIC-Weighted),N/A,12.0,0.6126,0.2219,1.3408
8,80,BVAR (Minn.),N/A,12.0,3.4265,1.3435,8.3363
8,80,BVAR (Conj.),N/A,12.0,3.4539,1.3983,8.4278
8,100,AIC,1.4,10.76,1.2636,0.5191,2.8589
8,100,SIC (BIC),0.0,1.26,0.7973,0.2852,2.1797
8,100,HQC,0.0,1.91,0.7569,0.2682,1.9564
8,100,BMA (BIC-Weighted),N/A,12.0,0.7269,0.2891,1.5612
8,100,BVAR (Minn.),N/A,12.0,1.6633,0.6701,4.0661
8,100,BVAR (Conj.),N/A,12.0,1.6744,0.6815,4.1349
8,120,AIC,8.0,6.55,0.9478,0.3924,2.1332
8,120,SIC (BIC),0.0,1.37,0.8735,0.3168,2.3148
8,120,HQC,0.0,1.94,0.8119,0.3131,1.9499
8,120,BMA (BIC-Weighted),N/A,12.0,0.7952,0.3328,1.6077
8,120,BVAR (Minn.),N/A,12.0,1.4537,0.615,3.4985
8,120,BVAR (Conj.),N/A,12.0,1.4564,0.6391,3.5472
8,160,AIC,19.7,4.68,0.8908,0.3565,2.0359
8,160,SIC (BIC),0.0,1.61,0.9216,0.3432,2.3634
8,160,HQC,0.0,2.02,0.8484,0.3102,2.1539
8,160,BMA (BIC-Weighted),N/A,12.0,0.8499,0.3377,1.9994
8,160,BVAR (Minn.),N/A,12.0,1.3704,0.5253,3.5331
8,160,BVAR (Conj.),N/A,12.0,1.3573,0.5495,3.5405
8,200,AIC,27.8,5.18,0.8964,0.3516,1.8915
8,200,SIC (BIC),0.0,1.87,0.8986,0.3176,2.4733
8,200,HQC,0.0,2.04,0.8687,0.3112,2.3751
8,200,BMA (BIC-Weighted),N/A,12.0,0.8418,0.3337,1.9436
8,200,BVAR (Minn.),N/A,12.0,1.3227,0.5562,3.2607
8,200,BVAR (Conj.),N/A,12.0,1.3174,0.5455,3.3224
10,80,AIC,0.0,12.0,2.0915,0.6984,15.2253
10,80,SIC (BIC),0.0,2.81,0.5686,0.121,2.3527
10,80,HQC,0.0,11.83,2.0254,0.6385,13.7374
10,80,BMA (BIC-Weighted),N/A,12.0,0.4202,0.1182,1.0854
10,80,BVAR (Minn.),N/A,12.0,2.2622,0.6658,5.9146
10,80,BVAR (Conj.),N/A,12.0,2.3189,0.6546,6.1355
10,100,AIC,2.2,10.79,1.1147,0.5089,2.2818
10,100,SIC (BIC),0.0,1.25,0.6514,0.1917,1.9354
10,100,HQC,0.1,1.92,0.6184,0.1997,1.7582
10,100,BMA (BIC-Weighted),N/A,12.0,0.6,0.2225,1.3716
10,100,BVAR (Minn.),N/A,12.0,1.3325,0.5054,3.252
10,100,BVAR (Conj.),N/A,12.0,1.3615,0.5231,3.3675
10,120,AIC,6.3,7.07,0.8611,0.3254,1.7807
10,120,SIC (BIC),0.0,1.36,0.7408,0.2472,1.8856
10,120,HQC,0.0,1.93,0.6979,0.2316,1.7767
10,120,BMA (BIC-Weighted),N/A,12.0,0.6794,0.2619,1.5062
10,120,BVAR (Minn.),N/A,12.0,1.1503,0.4229,2.9011
10,120,BVAR (Conj.),N/A,12.0,1.1856,0.4356,2.9142
10,160,AIC,4.8,5.1,0.792,0.3127,1.9368
10,160,SIC (BIC),0.0,1.62,0.7941,0.2603,2.2605
10,160,HQC,0.0,2.03,0.7378,0.2504,2.0551
10,160,BMA (BIC-Weighted),N/A,12.0,0.7439,0.2767,1.7379
10,160,BVAR (Minn.),N/A,12.0,1.1261,0.4284,2.787
10,160,BVAR (Conj.),N/A,12.0,1.1327,0.4136,2.9042
10,200,AIC,6.3,5.7,0.8099,0.2976,1.8201
10,200,SIC (BIC),0.0,1.87,0.7743,0.2744,2.05
10,200,HQC,0.0,2.04,0.7579,0.269,1.8867
10,200,BMA (BIC-Weighted),N/A,12.0,0.7362,0.287,1.7236
10,200,BVAR (Minn.),N/A,12.0,1.0743,0.4022,2.8887
10,200,BVAR (Conj.),N/A,12.0,1.0978,0.4205,2.7449
