True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Geom Mean MSE Ratio,5th Percentile,95th Percentile
6,240,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.1,0.5254,1.4188,0.1693,14.1811
6,240,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5254,1.3208,0.1307,12.0287
6,480,AIC,71.0,5.69,N/A,0.9046,0.1838,1.8114
6,480,AICc,0.0,1.0,N/A,1.1479,0.0994,17.7149
6,480,SIC (BIC),0.0,2.0,N/A,1.2105,0.1281,15.6071
6,480,HQC,0.0,2.63,N/A,1.1071,0.0888,12.2963
6,480,OLS BMA (BIC-W),N/A,12.0,N/A,1.0614,0.0798,14.1701
6,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,9.2843,1.808,71.1894
6,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.4466,0.0946,21.3868
6,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.0478,0.104,10.6566
6,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.1597,0.1107,13.5479
6,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.0,N/A,1.1443,0.0887,14.5685
6,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.059,0.0978,11.7125
6,480,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.99,1.1602,1.3122,0.1404,13.4441
6,480,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,1.1602,1.2619,0.0878,13.8732
8,96,AIC,0.0,11.21,N/A,1.2666,0.4175,5.0393
8,96,AICc,0.0,1.0,N/A,0.7683,0.1237,3.9453
8,96,SIC (BIC),0.0,1.26,N/A,0.8072,0.1638,3.9934
8,96,HQC,0.0,2.26,N/A,0.8745,0.1746,4.2784
8,96,OLS BMA (BIC-W),N/A,12.0,N/A,0.6727,0.1536,3.2261
8,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,184.6541,67.7705,496.8549
8,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,3.9342,1.2829,13.1633
8,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.5504,0.4708,6.5359
8,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.6649,0.3971,6.2202
8,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.26,N/A,1.678,0.2571,7.2024
8,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.2561,0.232,6.0013
