True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
6,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.1,N/A,0.0,1.4733879250639148,0.2135281295180671,8.532481852624674
6,240,"SOTA-BVAR (MDD p, Opt tau)",2.0,2.04,1.8406,0.0,1.1677557781977572,0.11892679954885692,7.874668766555033
6,240,"SOTA-BMA (MDD W, Opt tau)",N/A,2.12,1.8406,0.0,1.3176839549080128,0.15180433722867498,8.9372339874377
6,480,AIC,80.0,5.78,N/A,0.0,1.0761583918885136,0.7447404895967681,2.857969812599993
6,480,AICc,0.0,1.0,N/A,0.0,1.6374185997916961,0.22430283877746515,12.896213430681566
6,480,SIC (BIC),0.0,2.0,N/A,0.0,1.1839221521845298,0.11198693861756363,12.2206561547483
6,480,HQC,0.0,2.54,N/A,0.0,1.0911171313919141,0.11198693861756363,9.303358345110905
6,480,OLS BMA (BIC-W),N/A,5.75,N/A,0.0,0.9241149216945195,0.11382064201875941,4.203155979697394
6,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,8.478863952024073,1.852142432007106,40.455465560568264
6,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.4927551828080003,0.15628342061050635,13.614199025941458
6,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.0484246506139443,0.11128648962743357,7.429409178920061
6,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.098546165887211,0.17577691553293898,8.859300281819609
6,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.0,N/A,0.0,1.1627023504523035,0.1572206796251935,10.25843766153198
6,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.75,N/A,0.0,1.3257442913882167,0.16127989777774976,9.541715313196102
6,480,"SOTA-BVAR (MDD p, Opt tau)",4.0,2.36,1.8873,0.0,1.2484372186301493,0.16093580679642736,7.7090873713473425
6,480,"SOTA-BMA (MDD W, Opt tau)",N/A,2.4,1.8873,0.0,1.5005175423087054,0.13609602904196902,11.396034904186543
8,96,AIC,2.0,11.66,N/A,0.0,1.2914690561407338,0.4402041413021212,5.029056268520416
8,96,AICc,0.0,1.0,N/A,0.0,0.758411892758606,0.14928180562428578,4.078642038688941
8,96,SIC (BIC),0.0,1.3,N/A,0.0,0.8019238185225629,0.14928180562428578,4.078642038688941
8,96,HQC,0.0,2.08,N/A,0.0,0.8089319442415991,0.16687684844600761,3.7537644373562364
8,96,OLS BMA (BIC-W),N/A,4.3,N/A,0.0,0.7553085350951936,0.21585868240997774,2.3737116734675188
8,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,175.25225542048344,50.98057841813395,534.3628100786735
8,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,3.594683971207397,1.3187519707135922,12.962128904771202
8,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.3148349763109854,0.24772663400262437,5.462212783661414
8,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.557370901885703,0.47579957307389076,4.691739802797298
8,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.3,N/A,0.0,0.7536083829810619,0.20345811556165994,4.133004580004432
8,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.3,N/A,0.0,1.1460869511787835,0.2517873756294602,5.1010770975890285
8,96,"SOTA-BVAR (MDD p, Opt tau)",4.0,2.78,1.2111,0.0,0.842834501173521,0.18539556105356278,4.120432483860104
8,96,"SOTA-BMA (MDD W, Opt tau)",N/A,3.14,1.2111,0.0,0.7854525811661128,0.12156834448800623,3.364310856374701
8,144,AIC,16.0,4.5,N/A,0.0,0.9383935140168521,0.12699883273997706,4.455858140635366
8,144,AICc,0.0,1.0,N/A,0.0,0.9391441193705731,0.15141247785292924,6.530175320087228
8,144,SIC (BIC),0.0,1.42,N/A,0.0,0.9093347966241049,0.13285064503510252,5.5995850345506
8,144,HQC,0.0,2.0,N/A,0.0,0.8883977365288506,0.13133504998980217,3.8463613444632028
8,144,OLS BMA (BIC-W),N/A,4.58,N/A,0.0,0.6944013609112824,0.1389884646755436,4.231004711246364
8,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,59.1714817211525,21.6462351069738,213.5878888925314
8,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.85982896914633,0.45754952343125843,6.620880779547462
8,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.18604897562129,0.20941391203032123,6.052014938152835
8,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.1481670457456223,0.22375961543823977,6.321249477003702
8,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.42,N/A,0.0,0.8656794641993526,0.20531666742402416,3.158263059234183
8,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.58,N/A,0.0,0.872227564159888,0.17010538866939265,4.589256254119753
8,144,"SOTA-BVAR (MDD p, Opt tau)",2.0,1.98,1.5618,0.0,0.8334784972862521,0.10840629988405791,4.217280846906215
8,144,"SOTA-BMA (MDD W, Opt tau)",N/A,1.99,1.5618,0.0,0.9032435950708656,0.08969224118024968,3.6590721139452698
8,240,AIC,36.0,5.98,N/A,0.0,0.8771924792876302,0.2598607301238946,2.9049373594256807
8,240,AICc,0.0,1.0,N/A,0.0,1.0260736523030027,0.14033003355678883,6.485457088843079
8,240,SIC (BIC),0.0,1.9,N/A,0.0,1.006939019793198,0.1782093894020659,6.3788189869685805
8,240,HQC,0.0,2.08,N/A,0.0,1.0101180581180453,0.22709226527376805,5.879033560058141
8,240,OLS BMA (BIC-W),N/A,5.21,N/A,0.0,1.2723748563529835,0.17334066031604337,5.269603438734332
