p0,T,Iter,p,Estimator,Expected_Tau
4,360,21,3,Geom-BMA,0.2
4,360,21,4,Joint-BMA,0.2
4,360,21,4,Geom-BMA,0.2
4,360,21,5,Joint-BMA,0.2
4,360,21,6,Joint-BMA,0.2
4,360,22,2,Joint-BMA,0.2
4,360,22,2,Geom-BMA,0.2
4,360,22,3,Joint-BMA,0.20000000000000004
4,360,22,3,Geom-BMA,0.2
4,360,22,4,Joint-BMA,0.2
4,360,22,4,Geom-BMA,0.2
4,360,22,5,Joint-BMA,0.2
4,360,22,5,Geom-BMA,0.2
4,360,22,6,Joint-BMA,0.2
4,360,22,6,Geom-BMA,0.19999999999999998
4,360,22,7,Joint-BMA,0.19999999999999998
4,360,22,7,Geom-BMA,0.2
4,360,22,8,Joint-BMA,0.19999999999999998
4,360,23,2,Geom-BMA,0.2
4,360,23,3,Joint-BMA,0.2
4,360,23,3,Geom-BMA,0.2
4,360,23,4,Joint-BMA,0.2
4,360,23,4,Geom-BMA,0.2
4,360,23,5,Joint-BMA,0.2
4,360,23,5,Geom-BMA,0.2
4,360,23,6,Joint-BMA,0.2
4,360,23,6,Geom-BMA,0.2
4,360,23,7,Joint-BMA,0.2
4,360,23,8,Joint-BMA,0.2
4,360,23,9,Joint-BMA,0.2
4,360,24,2,Joint-BMA,0.2
4,360,24,2,Geom-BMA,0.2
4,360,24,3,Joint-BMA,0.2
4,360,24,3,Geom-BMA,0.2
4,360,24,4,Joint-BMA,0.2
4,360,24,4,Geom-BMA,0.2
4,360,24,5,Joint-BMA,0.2
4,360,24,5,Geom-BMA,0.2
4,360,24,6,Joint-BMA,0.2
4,360,24,6,Geom-BMA,0.20000000000000004
4,360,24,7,Joint-BMA,0.2
4,360,24,7,Geom-BMA,0.2
4,360,24,8,Joint-BMA,0.2
4,360,24,8,Geom-BMA,0.2
4,360,24,9,Joint-BMA,0.2
4,360,24,10,Joint-BMA,0.2
4,360,24,11,Joint-BMA,0.2
4,360,24,12,Joint-BMA,0.19999999999999998
4,360,25,2,Joint-BMA,0.2
4,360,25,2,Geom-BMA,0.2
4,360,25,3,Joint-BMA,0.19999999999999998
4,360,25,3,Geom-BMA,0.2
4,360,25,4,Joint-BMA,0.2
4,360,25,4,Geom-BMA,0.19999999999999998
4,360,25,5,Joint-BMA,0.2
4,360,25,5,Geom-BMA,0.2
4,360,25,6,Joint-BMA,0.2
4,360,25,7,Joint-BMA,0.2
4,360,26,2,Joint-BMA,0.2
4,360,26,2,Geom-BMA,0.2
4,360,26,3,Joint-BMA,0.2
4,360,26,3,Geom-BMA,0.2
4,360,26,4,Joint-BMA,0.2
4,360,26,4,Geom-BMA,0.2
4,360,26,5,Joint-BMA,0.2
4,360,26,6,Joint-BMA,0.19999999999999998
4,360,27,3,Joint-BMA,0.20000000000000004
4,360,27,3,Geom-BMA,0.2
4,360,27,4,Joint-BMA,0.2
4,360,27,4,Geom-BMA,0.2
4,360,27,5,Joint-BMA,0.2
4,360,27,5,Geom-BMA,0.2
4,360,27,6,Joint-BMA,0.2
4,360,28,2,Joint-BMA,0.2
4,360,28,2,Geom-BMA,0.2
4,360,28,3,Joint-BMA,0.20000000000000004
4,360,28,3,Geom-BMA,0.2
4,360,28,4,Joint-BMA,0.2
4,360,28,4,Geom-BMA,0.20000000000000004
4,360,28,5,Joint-BMA,0.2
4,360,29,3,Joint-BMA,0.2
4,360,29,3,Geom-BMA,0.2
4,360,29,4,Joint-BMA,0.19999999999999998
4,360,29,4,Geom-BMA,0.2
4,360,29,5,Joint-BMA,0.2
4,360,29,5,Geom-BMA,0.2
4,360,29,6,Joint-BMA,0.2
4,360,29,6,Geom-BMA,0.2
4,360,29,7,Joint-BMA,0.2
4,360,29,9,Joint-BMA,0.19999999999999998
4,360,30,2,Geom-BMA,0.2
4,360,30,3,Geom-BMA,0.2
4,360,30,4,Geom-BMA,0.2
4,360,30,5,Geom-BMA,0.2
4,360,30,6,Joint-BMA,0.2
4,360,30,6,Geom-BMA,0.2
4,360,30,7,Joint-BMA,0.2
4,360,30,7,Geom-BMA,0.2
4,360,30,8,Joint-BMA,0.2
4,360,30,8,Geom-BMA,0.2
4,360,30,9,Joint-BMA,0.2
4,360,30,9,Geom-BMA,0.2
4,360,30,10,Joint-BMA,0.2
4,360,30,10,Geom-BMA,0.2
4,360,30,11,Joint-BMA,0.2
4,360,30,11,Geom-BMA,0.2
4,360,30,12,Joint-BMA,0.2
4,360,30,12,Geom-BMA,0.20000000000000004
4,360,31,2,Joint-BMA,0.20000000000000004
4,360,31,2,Geom-BMA,0.2
4,360,31,3,Joint-BMA,0.2
4,360,31,3,Geom-BMA,0.19999999999999998
4,360,31,4,Joint-BMA,0.2
4,360,31,4,Geom-BMA,0.2
4,360,31,5,Joint-BMA,0.2
4,360,31,5,Geom-BMA,0.2
4,360,31,6,Joint-BMA,0.2
4,360,31,6,Geom-BMA,0.2
4,360,31,7,Joint-BMA,0.2
4,360,32,2,Joint-BMA,0.2
4,360,32,2,Geom-BMA,0.2
4,360,32,3,Joint-BMA,0.2
4,360,32,3,Geom-BMA,0.2
4,360,32,4,Joint-BMA,0.2
4,360,32,4,Geom-BMA,0.20000000000000004
4,360,33,2,Geom-BMA,0.19999999999999998
4,360,33,3,Joint-BMA,0.2
4,360,33,3,Geom-BMA,0.2
4,360,33,4,Joint-BMA,0.2
4,360,33,4,Geom-BMA,0.2
4,360,33,5,Joint-BMA,0.2
4,360,33,5,Geom-BMA,0.2
4,360,33,6,Joint-BMA,0.2
4,360,33,6,Geom-BMA,0.2
4,360,33,7,Joint-BMA,0.2
4,360,33,8,Joint-BMA,0.2
4,360,34,2,Joint-BMA,0.2
4,360,34,2,Geom-BMA,0.2
4,360,34,3,Joint-BMA,0.2
4,360,34,3,Geom-BMA,0.2
4,360,34,4,Joint-BMA,0.2
4,360,34,4,Geom-BMA,0.2
4,360,34,5,Joint-BMA,0.19999999999999998
4,360,34,5,Geom-BMA,0.2
4,360,34,6,Joint-BMA,0.2
4,360,35,2,Joint-BMA,0.19999999999999998
4,360,35,2,Geom-BMA,0.2
4,360,35,3,Joint-BMA,0.2
4,360,35,3,Geom-BMA,0.2
4,360,35,4,Joint-BMA,0.2
4,360,35,4,Geom-BMA,0.2
4,360,35,5,Joint-BMA,0.2
4,360,35,5,Geom-BMA,0.2
4,360,35,6,Joint-BMA,0.19999999999999998
4,360,35,6,Geom-BMA,0.2
4,360,35,7,Joint-BMA,0.2
4,360,36,2,Joint-BMA,0.2
4,360,36,2,Geom-BMA,0.2
4,360,36,3,Joint-BMA,0.2
4,360,36,3,Geom-BMA,0.2
4,360,36,4,Joint-BMA,0.2
4,360,36,4,Geom-BMA,0.2
4,360,36,5,Joint-BMA,0.2
4,360,37,2,Joint-BMA,0.2
4,360,37,2,Geom-BMA,0.2
4,360,37,3,Joint-BMA,0.2
4,360,37,3,Geom-BMA,0.2
4,360,37,4,Joint-BMA,0.2
4,360,37,4,Geom-BMA,0.2
4,360,37,5,Joint-BMA,0.2
4,360,37,5,Geom-BMA,0.2
4,360,37,6,Joint-BMA,0.2
4,360,37,7,Joint-BMA,0.2
4,360,37,8,Joint-BMA,0.2
4,360,38,2,Joint-BMA,0.2
4,360,38,2,Geom-BMA,0.2
4,360,38,3,Joint-BMA,0.2
4,360,38,3,Geom-BMA,0.20000000000000004
4,360,38,4,Joint-BMA,0.2
4,360,38,4,Geom-BMA,0.2
4,360,39,4,Joint-BMA,0.2
4,360,39,4,Geom-BMA,0.2
4,360,39,5,Joint-BMA,0.2
4,360,39,5,Geom-BMA,0.2
4,360,39,6,Joint-BMA,0.2
4,360,39,6,Geom-BMA,0.2
4,360,39,7,Joint-BMA,0.2
4,360,39,7,Geom-BMA,0.2
4,360,39,8,Joint-BMA,0.19999999999999998
4,360,39,9,Joint-BMA,0.2
4,360,39,10,Joint-BMA,0.2
4,360,39,11,Joint-BMA,0.2
4,360,40,2,Geom-BMA,0.2
4,360,40,3,Joint-BMA,0.2
4,360,40,3,Geom-BMA,0.20000000000000004
4,360,40,4,Joint-BMA,0.2
4,360,40,4,Geom-BMA,0.2
4,360,40,5,Joint-BMA,0.20000000000000004
4,360,40,5,Geom-BMA,0.2
4,360,40,6,Joint-BMA,0.2
4,360,40,6,Geom-BMA,0.20000000000000004
4,360,40,7,Joint-BMA,0.2
4,360,40,7,Geom-BMA,0.2
4,360,40,8,Joint-BMA,0.2
4,360,41,2,Joint-BMA,0.2
4,360,41,2,Geom-BMA,0.2
4,360,41,3,Joint-BMA,0.2
4,360,41,3,Geom-BMA,0.2
4,360,41,4,Joint-BMA,0.2
4,360,41,4,Geom-BMA,0.2
